;Четная неделя;;;;;Нечетная неделя;;;;
;Время;Название предмета;Тип;Адрес;Преподаватель;Время;Название предмета;Тип;Адрес;Преподаватель
Понедельник;;;;;;10:00 - 11:30;Основы взаимозаменяемости;Лекция;"НТЦ ""Эталон""";Ильинский Александр Вячеславович
;;;;;;11:40 - 13:10;Основы взаимозаменяемости;Лабораторная;"НТЦ ""Эталон""";Ильинский Александр Вячеславович
;;;;;;14:00 - 15:30;Программирование контроллеров ;Лекция;Кронверкский пр., д.49, ауд 414;Афанасьев Максим Яковлевич
Вторник;11:40 - 13:10;Компьютерная и инженерная графика;Лекция;Кронверкский пр., д.49, ауд 2201 (бывш. 206);Калапышина Ирина Ивановна;11:40 - 13:10;Компьютерная и инженерная графика;Лабораторная;Кронверкский пр., д.49, ауд 2112 (бывш. 19/7);Калапышина Ирина Ивановна
;;;;;;13:30 - 15:00;Компьютерная и инженерная графика;Лабораторная;Кронверкский пр., д.49, ауд 2112 (бывш. 19/7);Калапышина Ирина Ивановна
Среда;8:20 - 09:50;Методы контроля качества в цифровом производстве;Практика;"НТЦ ""Эталон""";Федоров Алексей Владимирович;8:20 - 09:50;Методы контроля качества в цифровом производстве;Лекция;"НТЦ ""Эталон""";Федоров Алексей Владимирович
;11:40 - 13:10;Английский язык;Практика;ул. Ломоносова, д.9, ауд 3307;Баранцева Марина Александровна;11:40 - 13:10;Английский язык;Практика;ул. Ломоносова, д.9, ауд 3307;Баранцева Марина Александровна
;13:30 - 15:00;Английский язык;Практика;ул. Ломоносова, д.9, ауд 3307;Баранцева Марина Александровна;13:30 - 15:00;Английский язык;Практика;ул. Ломоносова, д.9, ауд 3307;Баранцева Марина Александровна
Четверг;8:20 - 9:50;Основы цифрового производства;Практика;Кронверкский пр., д.49, ауд. 2112 (бывш. 19/7);Третьяков Сергей Дмитриевич;10:00 - 11:30;Теоретическая механика;Лекция;Кронверкский пр., д.49, ауд. 2112 (бывш. 19/7);Моторин Александр Сергеевич
;10:00 - 11:30;Основы цифрового производства;Лекция;Кронверкский пр., д.49, ауд. 2304 (бывш. 302);Андреев Юрий Сергеевич;11:40 - 13:10;Теоретическая механика;Лабораторная;Кронверкский пр., д.49, ауд. 2112 (бывш. 19/7);Моторин Александр Сергеевич
;11:40 - 13:10;Программирование контроллеров ;Лабораторная;Кронверкский пр., д.49, ауд. 2118 (бывш. 19/2);Крылова Анастасия Андреевна;13:30 - 15:00;Теоретическая механика;Лабораторная;Кронверкский пр., д.49, ауд. 2112 (бывш. 19/7);Моторин Александр Сергеевич
;13:30 - 15:00;Программирование контроллеров ;Лабораторная;Кронверкский пр., д.49, ауд. 2118 (бывш. 19/2);Крылова Анастасия Андреевна;;;;;
Пятница;10:00 - 11:30;Теория автоматического управления;Лабораторная;пер. Гривцова, д.14-16, ауд. 445;Чепинский Сергей Алексеевич;10:00 - 11:30;Теория автоматического управления;Лекция;пер. Гривцова, д.14-16, ауд. 445;Чепинский Сергей Алексеевич
;;;;;;11:40 - 13:10;Теория автоматического управления;Практика;пер. Гривцова, д.14-16, ауд. 445;Чепинский Сергей Алексеевич
Суббота;;;;;;;;;;
Воскресенье;;;;;;;;;;
